,Company,Segment,Segment Description,text,Predicted
6105,alkermes plc,Royalties,Earns royalties on products commercialized by partners using Alkermes' proprietary technologies,alkermes plc Royalties Earns royalties on products commercialized by partners using Alkermes' proprietary technologies,Not Applicable
132,the japan steel works ltd.,Steel Products,"Manufactures and sells steel products like steel plates, steel pipes, forged steel products, etc.","the japan steel works ltd. Steel Products Manufactures and sells steel products like steel plates, steel pipes, forged steel products, etc.",Resource Efficiency & Waste Management
3308,crh plc,Cement,"Manufactures and distributes cement, aggregates, readymix concrete and asphalt","crh plc Cement Manufactures and distributes cement, aggregates, readymix concrete and asphalt",Environmental Services & Resources
5859,cedar realty trust inc.,Residential Properties,"Owns and operates luxury multifamily apartment communities in the Washington, D.C. metropolitan area.","cedar realty trust inc. Residential Properties Owns and operates luxury multifamily apartment communities in the Washington, D.C. metropolitan area.",Energy Management & Efficiency
5477,adtran holdings inc.,Software & Services,Offers a portfolio of software and services across the full lifecycle of the network from creation to activation to maintenance.,adtran holdings inc. Software & Services Offers a portfolio of software and services across the full lifecycle of the network from creation to activation to maintenance.,Digital Infrastructure
3400,corecivic inc.,Community,Owns and manages residential reentry centers and offers electronic monitoring services,corecivic inc. Community Owns and manages residential reentry centers and offers electronic monitoring services,Energy Management & Efficiency
3151,biolife solutions inc.,Freezing media,"Proprietary freezing media products for the controlled, uniform freezing of biologic material","biolife solutions inc. Freezing media Proprietary freezing media products for the controlled, uniform freezing of biologic material",Not Applicable
2985,conduent incorporated,Healthcare Solutions,"Provides healthcare payer and provider solutions, including medical coding, utilization review, and care management services.","conduent incorporated Healthcare Solutions Provides healthcare payer and provider solutions, including medical coding, utilization review, and care management services.",Not Applicable
6533,autolus therapeutics plc,Acute lymphoblastic leukemia treatment,Clinical trials ongoing for CAR T therapy targeting acute lymphoblastic leukemia,autolus therapeutics plc Acute lymphoblastic leukemia treatment Clinical trials ongoing for CAR T therapy targeting acute lymphoblastic leukemia,Not Applicable
378,canterbury park holding corporation,Food and Beverage Operations,"Operates food and beverage concessions at the racetrack and card casino in Shakopee, Minnesota","canterbury park holding corporation Food and Beverage Operations Operates food and beverage concessions at the racetrack and card casino in Shakopee, Minnesota",Sustainable Food & Agriculture
6579,elisa oyj,Diagnostics,"Manufactures and sells diagnostic tests and instruments for healthcare professionals and laboratories. Key products include immunoassays, clinical chemistry solutions, and blood screening tests.","elisa oyj Diagnostics Manufactures and sells diagnostic tests and instruments for healthcare professionals and laboratories. Key products include immunoassays, clinical chemistry solutions, and blood screening tests.",Not Applicable
3355,capitol federal financial inc.,Treasury,"Manages bank's investment portfolio, wholesale funding and interest rate risk management programs to maximize returns.","capitol federal financial inc. Treasury Manages bank's investment portfolio, wholesale funding and interest rate risk management programs to maximize returns.",Not Applicable
6209,archrock inc.,Contract Operations,"Provides natural gas compression services through long-term, fixed-fee contracts","archrock inc. Contract Operations Provides natural gas compression services through long-term, fixed-fee contracts",Not Applicable
1057,the weir group plc,Weir Oil & Gas Pressure Pumping,"Manufactures pumps, fluid ends and other solutions for the pressure pumping/pressure control side of the oil and gas exploration and production industry.","the weir group plc Weir Oil & Gas Pressure Pumping Manufactures pumps, fluid ends and other solutions for the pressure pumping/pressure control side of the oil and gas exploration and production industry.",Not Applicable
